genotipo	Novo
SYE9049VIP3	NTX303VIP3
SX6003ZS.0	NK422VIP3
SX5885ZS.0	NK488VIP3
SX7005ZS.0	NK505VIP3
SX8394ZS.0	NS73VIP3
SX7331ZS.2	SUPREMOVIP3
SX7005TG.0	NK505TG
SZF558	NS91
SXD218ZS.0	NS80VIP3
SZF558ZL.0	NS91VIP3
SXD118WT.0	SXD118VIP2
SX6665ZS.0	NK455VIP3
SYE9049ZS.0	NTX303VIP3
SXC997ZS.0	NS65VIP3
